geom,Address,Age 65+ Total,All_Persons,% of Seniors,latitude,longitude,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,has_shelter,has_shelter_with_bench,distance,id,source,bench_count,amenity
"{""type"":""LineString"",""coordinates"":[[-79.51608,43.70027999999999],[-79.51600999999999,43.70029]]}",1901 Weston Rd,"151","331",0.45619335347432,43.7005399,-79.5161679,"5415",Lawrence Ave West at Weston Rd - Weston GO Station,43.700276,-79.516006,Some,"1","1","5","463",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.52458,43.70259999999999],[-79.52469,43.70264],[-79.52470999999999,43.70264999999999],[-79.52481,43.70268999999999],[-79.52483999999999,43.7027]]}",2130 Weston Rd,"54","176",0.306818181818182,43.7024619,-79.5246820999999,"6173",Weston Rd at Church St South Side,43.7027,-79.524832,Some,"0","1","23","464",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.51999,43.70197999999999],[-79.52034999999999,43.70165999999999],[-79.52047,43.70154999999999],[-79.52052999999999,43.7015],[-79.52055,43.70147],[-79.52056,43.70145999999999],[-79.52056,43.70145],[-79.52055,43.70145],[-79.5206,43.70129],[-79.52061,43.70127],[-79.52061,43.70127],[-79.52056,43.70125999999999],[-79.52042,43.70121999999999],[-79.51994,43.70109],[-79.51985,43.70107],[-79.51963999999999,43.70100999999999]]}",15 King St,"124","130",0.953846153846154,43.7018771,-79.5198135,"16055",Weston Rd at Little Ave,43.701011,-79.51964,Some,"0","0","178","465",Google,"0",
"{""type"":""LineString"",""coordinates"":[[-79.518753,43.699911],[-79.51864799999999,43.699857],[-79.51860399999999,43.699832],[-79.518567,43.69979699999999],[-79.518555,43.69976499999999],[-79.518506,43.69968099999999],[-79.518589,43.69966099999999],[-79.518718,43.69963099999999],[-79.518972,43.69957099999999],[-79.51937999999999,43.69947599999999],[-79.51972499999999,43.699396]]}",2088 Lawrence Ave W,"74","232",0.318965517241379,43.6999933,-79.5186715,"5387",Lawrence Ave West at Little Ave,43.699382,-79.519719,None,"0","0","136","466",OpenStreetMaps,"0",
"{""type"":""LineString"",""coordinates"":[[-79.52563999999999,43.68283999999999],[-79.52567999999999,43.68283],[-79.52589999999999,43.68278999999999],[-79.52617999999999,43.68272999999999],[-79.52622999999999,43.68272],[-79.52622999999999,43.68272],[-79.52635999999999,43.68269],[-79.52637,43.68269],[-79.52638,43.68269999999999],[-79.52639,43.68269999999999],[-79.52655,43.68265999999999],[-79.52657999999999,43.68265999999999],[-79.52657999999999,43.68265999999999],[-79.52651,43.68251],[-79.52651,43.68251],[-79.52652,43.68245999999999],[-79.52634999999999,43.68249999999999]]}",1403 Royal York Rd,"145","406",0.357142857142857,43.6830058,-79.5257015,"2403",Eglinton Ave West at Royal York Rd,43.68247,-79.526336,Some,"0","1","134","467",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.52333,43.68444],[-79.52353999999999,43.68495],[-79.52353999999999,43.68495],[-79.52346,43.68498999999999],[-79.52339999999999,43.685],[-79.52334,43.68502],[-79.52321,43.68502],[-79.52307,43.68504999999999]]}",151 La Rose Ave,"83","169",0.49112426035503,43.6844255,-79.5234176,"12170",135 La Rose Ave,43.685055,-79.523068,Some,"1","1","102","468",Google,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.52658999999999,43.68375],[-79.52661,43.68375999999999],[-79.52666,43.68377999999999],[-79.52676999999999,43.68379],[-79.52684999999999,43.68379999999999],[-79.52684999999999,43.68379999999999],[-79.52684,43.68390999999999],[-79.52684,43.68390999999999],[-79.52694999999999,43.68395],[-79.52694999999999,43.68395],[-79.52701,43.68397999999999],[-79.52701,43.68397999999999],[-79.52704,43.68397],[-79.52705,43.68397],[-79.52706,43.68397],[-79.52706,43.68397999999999],[-79.52706999999999,43.68397999999999],[-79.52706999999999,43.68399],[-79.52707999999999,43.68399],[-79.52709,43.68399],[-79.5271,43.68399],[-79.52710999999999,43.68399],[-79.52711999999999,43.68399],[-79.52713,43.68399],[-79.52714,43.68399],[-79.52714,43.68397999999999],[-79.52715,43.68397],[-79.52715999999999,43.68397],[-79.52715999999999,43.68397],[-79.52719,43.68403]]}",1407 Royal York Rd,"113","284",0.397887323943662,43.6838439,-79.5263576,"7002",Royal York Rd at La Rose Ave,43.684028,-79.527197,Some,"0","1","76","469",Google,"1","Shelter With Bench Underneath,Bench nearby"
"{""type"":""LineString"",""coordinates"":[[-79.547645,43.698374],[-79.54778299999999,43.69867599999999],[-79.54760899999999,43.69872199999999],[-79.547453,43.698763],[-79.54747399999999,43.698805],[-79.54784999999999,43.69956599999999]]}",2000 Islington Ave,"188","277",0.67870036101083,43.6982421,-79.5479308,"3806",Islington Ave at Kingsview Blvd,43.699602,-79.547712,Some,"1","1","157","470",OpenStreetMaps,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.547645,43.698374],[-79.54778299999999,43.69867599999999],[-79.54760899999999,43.69872199999999],[-79.547453,43.698763],[-79.54747399999999,43.698805],[-79.54784999999999,43.69956599999999]]}",2010 Islington Ave,"177","268",0.66044776119403,43.6982931,-79.5478787,"3806",Islington Ave at Kingsview Blvd,43.699602,-79.547712,Some,"1","1","157","471",OpenStreetMaps,"0",Shelter With Bench Underneath
"{""type"":""LineString"",""coordinates"":[[-79.51972999999999,43.68538],[-79.51982999999999,43.68560999999999],[-79.51989,43.68576],[-79.51989,43.68576],[-79.51958999999999,43.68583]]}",95 La Rose Ave,"102","157",0.64968152866242,43.6854626,-79.519376,"12172",La Rose Ave at Timothy Crt,43.685822,-79.519582,Some,"1","1","77","472",Google,"0",Shelter With Bench Underneath
