stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,has_shelter,has_shelter_with_bench,has_bench
14206,14686,Finch Station,,43.78029,-79.414537,,,,,,1,FALSE,FALSE,FALSE
14207,14687,Finch Station,,43.780619,-79.414857,,,,,,1,FALSE,FALSE,TRUE
14208,14688,Finch Station,,43.780786,-79.414927,,,,,,1,FALSE,FALSE,TRUE
14209,14689,Finch Station,,43.780942,-79.414992,,,,,,1,FALSE,FALSE,TRUE
14210,14690,Finch Station,,43.781111,-79.415064,,,,,,1,FALSE,FALSE,TRUE
14211,14691,Finch Station,,43.78127,-79.415127,,,,,,1,FALSE,FALSE,TRUE
14212,14692,Finch Station,,43.78143,-79.415193,,,,,,1,FALSE,FALSE,TRUE
14215,14695,High Park Station,,43.65397,-79.466354,,,,,,1,FALSE,FALSE,FALSE
14216,14696,High Park Station,,43.654074,-79.465887,,,,,,1,FALSE,FALSE,FALSE
14217,14697,Islington Station,,43.645159,-79.524843,,,,,,2,FALSE,FALSE,FALSE
14220,14700,Jane Station,,43.649911,-79.484072,,,,,,1,FALSE,FALSE,FALSE
14221,14701,Jane Station,,43.649968,-79.483848,,,,,,1,FALSE,FALSE,FALSE
14222,14702,Jane Station,,43.650037,-79.483598,,,,,,1,FALSE,FALSE,TRUE
14223,14703,Jane Station,,43.650093,-79.483319,,,,,,1,FALSE,FALSE,FALSE
14224,14704,Keele Station,,43.65565,-79.459571,,,,,,1,FALSE,FALSE,FALSE
14225,14705,Keele Station,,43.655427,-79.459586,,,,,,1,FALSE,FALSE,FALSE
14226,14706,Keele Station,,43.655373,-79.459836,,,,,,1,FALSE,FALSE,FALSE
14227,14707,Kennedy Station,,43.732739,-79.263253,,,,,,1,FALSE,FALSE,TRUE
14228,14708,Kennedy Station,,43.732502,-79.263315,,,,,,1,FALSE,FALSE,TRUE
14229,14709,Kennedy Station,,43.732432,-79.263523,,,,,,1,FALSE,FALSE,FALSE
14230,14710,Kennedy Station,,43.732361,-79.26374,,,,,,1,FALSE,FALSE,FALSE
14231,14711,Kennedy Station,,43.732269,-79.264011,,,,,,1,FALSE,FALSE,FALSE
14232,14713,Kennedy Station,,43.732522,-79.263895,,,,,,1,FALSE,FALSE,FALSE
14233,14714,Kennedy Station,,43.73259,-79.263693,,,,,,1,FALSE,FALSE,FALSE
14234,14715,Kennedy Station,,43.73266,-79.263479,,,,,,1,FALSE,FALSE,FALSE
14235,14716,Kipling Station,,43.637209,-79.536117,,,,,,1,FALSE,FALSE,FALSE
14236,14717,Kipling Station,,43.637354,-79.535939,,,,,,1,FALSE,FALSE,FALSE
14237,14718,Kipling Station,,43.637465,-79.53581,,,,,,1,FALSE,FALSE,FALSE
14238,14719,Kipling Station,,43.637582,-79.535677,,,,,,1,FALSE,FALSE,FALSE
14239,14720,Kipling Station,,43.637717,-79.535511,,,,,,1,FALSE,FALSE,FALSE
14240,14721,Kipling Station,,43.637851,-79.535345,,,,,,1,FALSE,FALSE,FALSE
14241,14722,Kipling Station,,43.637963,-79.535215,,,,,,1,FALSE,FALSE,FALSE
14242,14723,Kipling Station,,43.638084,-79.535066,,,,,,1,FALSE,FALSE,FALSE
14243,14724,Kipling Station,,43.638195,-79.534941,,,,,,1,FALSE,FALSE,FALSE
14244,14725,Lawrence Station,,43.725556,-79.402351,,,,,,2,FALSE,FALSE,FALSE
14245,14726,Lawrence Station,,43.725383,-79.40231,,,,,,2,FALSE,FALSE,FALSE
14246,14727,Lawrence Station,,43.725127,-79.402224,,,,,,2,FALSE,FALSE,FALSE
14250,14731,Lawrence West Station,,43.715672,-79.443696,,,,,,1,FALSE,FALSE,FALSE
14251,14732,Lawrence West Station,,43.715629,-79.443912,,,,,,1,FALSE,FALSE,FALSE
14252,14733,Lawrence West Station,,43.715586,-79.444126,,,,,,1,FALSE,FALSE,FALSE
14253,14734,Lawrence West Station,,43.715545,-79.444333,,,,,,1,FALSE,FALSE,TRUE
14254,14735,Lawrence West Station,,43.7155,-79.444568,,,,,,1,FALSE,FALSE,TRUE
14256,14737,Main Street Station,,43.689096,-79.301708,,,,,,1,FALSE,FALSE,FALSE
14257,14738,Main Street Station,,43.689158,-79.301482,,,,,,1,FALSE,FALSE,FALSE
14258,14739,Main Street Station,,43.689215,-79.301272,,,,,,1,FALSE,FALSE,TRUE
14259,14740,Main Street Station,,43.689034,-79.301209,,,,,,1,FALSE,FALSE,FALSE
14260,14741,Main Street Station,,43.688861,-79.301804,,,,,,2,FALSE,FALSE,TRUE
14261,14742,Old Mill Station,,43.650156,-79.495072,,,,,,1,FALSE,FALSE,TRUE
14262,14743,Ossington Station,,43.662271,-79.426546,,,,,,1,FALSE,FALSE,FALSE
14263,14744,Ossington Station,,43.662251,-79.426749,,,,,,1,FALSE,FALSE,TRUE
14264,14745,Ossington Station,,43.662338,-79.426607,,,,,,1,FALSE,FALSE,FALSE
14265,14746,Ossington Station,,43.662437,-79.426176,,,,,,1,FALSE,FALSE,FALSE
14266,14747,Pape Station,,43.680042,-79.344585,,,,,,1,FALSE,FALSE,FALSE
14267,14748,Pape Station,,43.679925,-79.344557,,,,,,1,FALSE,FALSE,TRUE
14270,14751,Royal York Station,,43.648338,-79.511178,,,,,,1,FALSE,FALSE,FALSE
14271,14752,Royal York Station,,43.648282,-79.511038,,,,,,1,FALSE,FALSE,FALSE
14272,14753,Royal York Station,,43.6481,-79.51129,,,,,,1,FALSE,FALSE,FALSE
14274,14755,Runnymede Station,,43.651732,-79.475954,,,,,,1,FALSE,FALSE,FALSE
14275,14756,Runnymede Station,,43.651787,-79.475714,,,,,,1,FALSE,FALSE,FALSE
14276,14757,Scarborough Centre Station,,43.77429,-79.25875,,,,,,1,FALSE,FALSE,FALSE
14277,14758,Scarborough Centre Station,,43.774257,-79.258185,,,,,,1,FALSE,FALSE,FALSE
14279,14760,Scarborough Centre Station,,43.77417,-79.258565,,,,,,1,FALSE,FALSE,TRUE
14280,14761,Scarborough Centre Station,,43.774369,-79.25849,,,,,,1,FALSE,FALSE,FALSE
14281,14762,Scarborough Centre Station,,43.774436,-79.258212,,,,,,1,FALSE,FALSE,FALSE
14282,14763,Scarborough Centre Station,,43.774515,-79.257894,,,,,,1,FALSE,FALSE,FALSE
14283,14764,Scarborough Centre Station,,43.774583,-79.257626,,,,,,1,FALSE,FALSE,FALSE
14286,14767,Scarborough Centre Station,,43.77443,-79.257498,,,,,,1,FALSE,FALSE,FALSE
14287,14768,Scarborough Centre Station,,43.774373,-79.257735,,,,,,1,FALSE,FALSE,FALSE
14288,14769,Scarborough Centre Station,,43.774322,-79.257944,,,,,,1,FALSE,FALSE,FALSE
14294,14777,Spadina Station,,43.667271,-79.403784,,,,,,1,FALSE,FALSE,FALSE
14295,14778,St Clair Station,,43.687857,-79.391958,,,,,,1,FALSE,FALSE,FALSE
14301,14784,St George Station,,43.668655,-79.398053,,,,,,1,FALSE,FALSE,FALSE
14302,14785,Victoria Park Station,,43.693745,-79.288368,,,,,,1,FALSE,FALSE,FALSE
14304,14787,Victoria Park Station,,43.694134,-79.288543,,,,,,1,FALSE,FALSE,FALSE
14305,14788,Victoria Park Station,,43.694329,-79.288637,,,,,,1,FALSE,FALSE,FALSE
14307,14790,Warden Station,,43.710977,-79.279519,,,,,,2,FALSE,FALSE,FALSE
14308,14791,Warden Station,,43.710984,-79.279607,,,,,,2,FALSE,FALSE,FALSE
14309,14792,Warden Station,,43.710991,-79.279698,,,,,,2,FALSE,FALSE,FALSE
14310,14793,Warden Station,,43.710998,-79.279785,,,,,,2,FALSE,FALSE,FALSE
14311,14794,Warden Station,,43.711006,-79.279873,,,,,,2,FALSE,FALSE,FALSE
14312,14795,Warden Station,,43.711013,-79.279962,,,,,,2,FALSE,FALSE,FALSE
14313,14796,Warden Station,,43.71102,-79.280047,,,,,,2,FALSE,FALSE,FALSE
