_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
3151,5399,TR-06495,1150,Sheppard Ave W,Sheppard Ave W,North,Kodiak Cres,East,T6076,06,DuKe Heights,D,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.469321667621, 43.7539506705798]]}"
3152,5400,TR-06502,20,Starview Lane,Starview Lane,North,Weston Rd,East,T13467,07,None,RN1,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5338795606435, 43.7268310021158]]}"
3153,5401,TR-06505,30,Thistle Down Blvd,Thistle Down Blvd,North,Albion Rd,East,T11575,01,None,LKN,Existing,Provincial,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5607212885001, 43.7361016418464]]}"
3154,5402,TR-06506,None,None,Albion Rd,North,Todd Brook Dr,West,T1680,01,None,LCN,Existing,Provincial,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.573659805213, 43.7387408188121]]}"
3155,5405,TR-04521,2500,Bloor St W,Bloor St W,North,Riverside Dr,East,T556,04,None,LKN,Temporarily Removed,Provincial,S1300556,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4874735101294, 43.6478709393744]]}"
3156,5407,TR-04523,452,College St,Bathurst St,West,College St,North,T111,11,Little Italy,RN2,Existing,Provincial,S1900111,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4078823528769, 43.6566342291141]]}"
3157,5409,TR-04526,2990,Eglinton Ave E,Bellamy Rd N,West,Eglinton Ave E,North,T353,21,None,LCN,Existing,Provincial,S3800353,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2323389246448, 43.7405939778922]]}"
3158,5410,TR-04528,35,Finch Ave E,Finch Ave E,South,Doris Ave,West,T2516,18,Willowdale,LC,Existing,Provincial,0TS12976,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4125481896643, 43.780314059149]]}"
3159,5411,TR-04531,None,None,Sentinel Rd,East,The Pond Rd,South,T4498,07,None,LC,Existing,Provincial,0TS12942,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.502264323977, 43.7698947206976]]}"
3160,5412,TR-04532,80,The Pond Rd,The Pond Rd,North,Seneca Lane,East,T12193,07,None,US,Existing,Provincial,0TS12944,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4997638325006, 43.7706789519687]]}"
3161,5413,TR-04534,1,Inlet Mews,Sheppard Ave W,North,Sentinel Rd,East,T6087,06,None,RN2,Existing,Provincial,S0906087,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4916229890193, 43.7438106081051]]}"
3162,5415,TR-04536,650,Danforth Ave,Pape Ave,West,Danforth Ave,North,T6628,14,Greektown on the Danforth,KF2,Existing,Provincial,0TS13086,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3450283254956, 43.6790764712449]]}"
3163,5416,TR-04537,307,Queen St W,Queen St W,South,John St,West,T6841,10,Queen Street West,RN2,Existing,Provincial,S2006841,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3912373409036, 43.6497580775679]]}"
