_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
1,15,SH-00234,1,Winter Gardens Trl,Port Union Rd,None,Winter Gardens Trl,None,None,25,None,Standard Daytech,Existing,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.1388027108006, 43.7852104517018]]}"
2,17,SH-03390,1,Glen Watford Dr,Sheppard Ave E,North,Glen Watford Dr,East,T6054,23,Sheppard East Village,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.275767197261, 43.7861379185644]]}"
3,19,SH-01227,7600,Sheppard Ave E,None,None,Morningside Ave,None,T9319,25,None,D,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2004362071333, 43.8019761111948]]}"
4,21,SH-01412,1200,Eglinton Ave E,Eglinton Ave E,North,Dvp S Eglinton Ramp,East,T2267,16,None,A,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3314845851113, 43.7229614440052]]}"
5,25,SH-03400,443,Queen St W,Queen St W,South,Spadina Ave,West,T6853,10,Queen Street West,B,Temporarily Removed,Enseicom,None,Yes,Permanently Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.3966410731238, 43.6486182708151]]}"
6,30,SH-02130,220X,The East Mall,None,None,Yarn Rd,None,None,03,None,Standard Daytech,Temporarily Removed,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5534542115062, 43.6320274691068]]}"
7,33,SH-02664,245,Eglinton Ave E,Eglinton Ave E,South,Taunton Rd,West,T9113,15,Mount Pleasant Village,B,Temporarily Removed,Enseicom,None,Yes,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.3892401842983, 43.708493638347]]}"
8,41,SH-01743,2606,St Clair Ave W,None,None,Jane St,None,T13308,05,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4914618909566, 43.6673374460797]]}"
9,45,SH-00297,6705,Sheppard Ave E,Neilson Rd,East,Sheppard Ave E,South,T1400,25,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.217361016088, 43.7979298846978]]}"
10,48,SH-01268,294,Yonge St,Dundas St W,South,Yonge St,West,T2197,13,Downtown Yonge,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3811303948228, 43.656210754526]]}"
11,49,SH-00247,580,Rathburn Rd,Rathburn Rd,North,Centennial Park Rd,West,T1501,02,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5817990025372, 43.6507154778785]]}"
12,50,SH-03579,7,Field Sparroway,Finch Ave E,North,Leslie St,West,T2519,17,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.369201358834, 43.7901560130755]]}"
13,52,SH-03148,66,Lunsfield Cres,Mccowan Rd,West,Sandhurst Crcl,North,T1316,23,None,A,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2655400630756, 43.8053159025531]]}"
14,61,SH-01983,43,Eglinton Ave E,Eglinton Ave E,South,Holly St,West,T3538,12,None,B,Temporarily Removed,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3971392360397, 43.7069050042631]]}"
15,62,SH-03346,1,Thompson Rd,Thompson Ave,South,Ian Macdonald Blvd,West,None,07,None,Standard Ancaster,Existing,Ancaster,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5098001657189, 43.7748066026542]]}"
16,65,SH-03367,5810,Sheppard Ave E,Sheppard Ave E,North,Gateforth Dr,East,T9965,23,None,D,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2301099748914, 43.7957889641831]]}"
17,68,SH-02812,607,Eglinton Ave E,Eglinton Ave E,South,Bayview Ave,West,T2238,15,None,A,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3774236876369, 43.710892773892]]}"
18,69,SH-03483,10,Life Saving Dr,Wellness Way,East,Life Saving Dr,North,None,15,None,Standard Daytech,Existing,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3776950271777, 43.7215320904042]]}"
19,70,SH-03913,1095,Neilson Rd,Neilson Rd,East,Sewells Rd,South,T1399,25,None,D,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2183141764957, 43.8064133599553]]}"
20,76,SH-00624,47,Bathurst St,Bathurst St,East,Wellington St W,South,T217,10,None,A,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4019931601815, 43.6425821124147]]}"
21,83,SH-01554,1524,Bathurst St,Bathurst St,West,Tichester Rd,South,T210,12,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4192419633966, 43.685179334043]]}"
22,89,SH-01061,338,Donlands Ave,Donlands Ave,West,Torrens Ave,North,T976,14,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3425087289864, 43.6928827733246]]}"
23,97,SH-02084,15,Damascus Dr,Finch Ave W,North,Damascus Dr,East,T2592,01,None,A,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5978425623772, 43.7354624420894]]}"
24,112,SH-02741,2051,Bridletowne Crcl,Finch Ave E,North,Birchmount Rd,East,T2553,22,None,D,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3097458063405, 43.7982558220977]]}"
25,113,SH-03601,63,Hunting Ridge,Kipling Ave,East,Hunting Ridge,South,T4328,02,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5525335015073, 43.681259814307]]}"
26,115,SH-01121,7,Arleta Ave,Sheppard Ave W,North,Northover St,East,T6058,07,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5013449571816, 43.7416745767321]]}"
27,121,SH-03122,4002,Sheppard Ave E,Sheppard Ave E,North,Kennedy Rd,East,T7197,22,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2880494320827, 43.7835098518048]]}"
28,124,SH-01658,63,Silversted Dr,Mccowan Rd,West,Kenhatch Blvd,North,T1302,23,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2639923972736, 43.8015974974863]]}"
29,125,SH-02236,21,Redway Rd,Millwood Rd,West,Overlea Blvd,South,T2927,15,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3525662867101, 43.7016026456651]]}"
30,126,SH-01079,2500,Sheppard Ave E,Victoria Park Ave,West,Sheppard Ave E,North,T7426,17,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3233502905669, 43.7755353967602]]}"
31,128,SH-01713,155,Culford Rd,Lawrence Ave W,South,Culford Rd,East,T5356,05,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4873237913814, 43.706310816804]]}"
32,130,SH-00626,5359,Dundas St W,Dundas St W,South,Poplar Ave,West,T2180,03,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5401479113998, 43.6357663319677]]}"
33,131,SH-02437,3077,Weston Rd,Weston Rd,West,Mainshep Rd,North,T11717,07,Emery Village,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.537795395027, 43.7318061169369]]}"
34,132,SH-03650,1111A,College St,College St,South,Dufferin St,West,T826,09,College West,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.4327269729055, 43.6524461259982]]}"
35,138,SH-00232,781,Warden Ave,Warden Ave,West,Civic Rd,None,T8548,20,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2868126978688, 43.7252948045519]]}"
36,144,SH-02343,2200,Jane St,Jane St,East,Wilson Ave,North,T3940,06,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5084781764239, 43.7212937142588]]}"
37,150,SH-00692,986,The Queensway,The Queensway,North,Islington Ave,East,T6895,03,Shop The Queensway,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5143936350267, 43.623850867702]]}"
38,154,SH-03025,300,The East Mall,The East Mall,West,Bloor St W,North,T2202,02,None,A,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5570031109353, 43.6371852140451]]}"
39,156,SH-00728,15,Mcknight Dr,Morningside Ave,West,McLevin Ave,North,T2971,25,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2037665734045, 43.8106498449934]]}"
40,160,SH-01479,3326,Bloor St W,Bloor St W,North,Green Lanes,West,None,03,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5260875669242, 43.6442088187556]]}"
41,163,SH-03181,135,Rexdale Blvd,Rexdale Blvd,North,Queen's Plate Dr,East,T10614,01,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5922202791669, 43.7165833496447]]}"
42,177,SH-00319,2500,Don Mills Rd,Sheppard Ave E,North,Don Mills Rd,West,T7178,17,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.347661659367, 43.7751034957193]]}"
43,179,SH-01535,54,Inniscross Cres,Steeles Ave E,South,Kelvin Grove Ave,West,T9347,22,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3124444081662, 43.8222746313607]]}"
44,188,SH-03619,1985,Dundas St W,Dundas St W,South,Sorauren Ave,West,T987,04,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.445730849717, 43.6512254156775]]}"
45,190,SH-00036,276,St Clair Ave E,Mount Pleasant Rd,East,St Clair Ave E,North,T5844,11,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.383301895782, 43.6907645736608]]}"
46,197,SH-02501,1200-1234,Lawrence Ave E,Lawrence Ave E,North,Curlew Dr,West,T5256,16,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3197430652621, 43.7413009271114]]}"
47,200,SH-03683,94,Avenue Rd,Avenue Rd,West,Elgin Ave,North,T51,11,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.395869810798, 43.6726275498958]]}"
48,203,SH-03124,500,Rexdale Blvd,Queen's Plate Dr,East,Rexdale Blvd,North,None,01,None,Standard Daytech,Existing,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.6026321569049, 43.7196312468689]]}"
49,206,SH-02766,450,Dundas St W,Dundas St W,North,Huron St,East,T2169,10,Chinatown,B,Temporarily Removed,Enseicom,None,Yes,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.3960460942825, 43.6534189394972]]}"
50,208,SH-03868,3565,Bathurst St,Bathurst St,East,Bannockburn Ave,South,T91,08,None,A,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4323823207725, 43.7311754388581]]}"
51,211,SH-03808,3939,Lawrence Ave E,Lawrence Ave E,South,Orton Park Rd,West,T5299,24,None,D,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2057812747603, 43.7638803030628]]}"
52,218,SH-01366,845,The Queensway,None,None,Loma Rd,None,None,03,Shop The Queensway,Standard Daytech,Existing,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.508955340438, 43.6248321168638]]}"
53,227,SH-02729,3350,Weston Rd,Weston Rd,West,Habitant Dr,North,T8729,07,Emery Village,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5412657268004, 43.7460484311968]]}"
54,236,SH-00537,2,Ossington Ave,Ossington Ave,West,Queen St W,North,T5979,10,West Queen West,B,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4189964240524, 43.6443524390197]]}"
55,239,SH-01399,1384,Weston Rd,Jane St,East,Weston Rd,South,T3936,05,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5006292645186, 43.691046004756]]}"
56,259,SH-03697,109,Cosburn Ave,Cosburn Ave,South,Pape Ave,West,T861,14,Pape Village,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3490475535974, 43.6892855323838]]}"
57,260,SH-00271,552,Midland Ave,St Clair Ave E,South,Midland Ave,West,T1569,20,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2515828659122, 43.7185528722898]]}"
58,265,SH-00495,3930,Lawrence Ave E,Lawrence Ave E,North,Orton Park Rd,East,T5300,24,None,D,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2053036358153, 43.7642683644002]]}"
59,267,SH-01318,444,Dawes Rd,Dawes Rd,West,Gower St,North,T1897,19,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.297040209207, 43.7024201081936]]}"
60,268,SH-03158,160,Crow Trl,Neilson Rd,West,Crow Trl,North,T1375,23,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2259802272574, 43.8123971107754]]}"
61,271,SH-00699,164,Evans Ave,Evans Ave,North,Islington Ave,East,T9399,03,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5109278610476, 43.6186029899517]]}"
62,273,SH-00101,17,Symington Ave,Symington Ave,East,Bloor St W,North,T4648,09,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4478301552791, 43.6576471673468]]}"
63,280,SH-00887,20,Eglinton Ave W,Eglinton Ave W,North,Yonge St,West,T9898,08,None,B,Temporarily Removed,Enseicom,None,Yes,Temporarily Removed,,"{'type': 'MultiPoint', 'coordinates': [[-79.39891364514, 43.7067275339444]]}"
64,284,SH-02571,33,Parmalea Cres,Kipling Ave,East,Gracey Blvd,South,T4316,02,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.553614286002, 43.6836082944772]]}"
65,287,SH-03761,626,Dundas St W,Dundas St W,North,Denison Ave,East,T2157,11,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4021146447425, 43.652138273089]]}"
66,295,SH-03203,731,College St,College St,South,Crawford St,West,T822,11,Little Italy,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4191921589497, 43.6550223599631]]}"
67,303,SH-02577,126,O'Connor Dr,Pape Ave,West,O'Connor Dr,North,T5988,14,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3505065411347, 43.6933805456868]]}"
68,304,SH-02022,35,Widdicombe Hill,Kipling Ave,East,Widdicombe Hill,South,T4389,02,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5514557088708, 43.6788594740183]]}"
69,308,SH-01167,1284,King St W,King St W,North,Spencer Ave,East,T13890,04,None,Canopy,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4306828086712, 43.6383370863175]]}"
70,311,SH-03029,4900,Dufferin St,Dufferin St,West,Dolomite Dr,North,T7649,06,DuKe Heights,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4699918824838, 43.7809914077578]]}"
71,316,SH-03454,739,The Queensway,The Queensway,South,Uno Dr,East,T6913,03,Shop The Queensway,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5030689571097, 43.6261305994356]]}"
72,322,SH-00518,40,Parkcrest Dr,Kingston Rd,South,Parkcrest Dr,West,T4250,20,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2203669910399, 43.7355975345172]]}"
73,326,SH-02078,4610X,Eglinton Ave W,Eglinton Ave W,North,Kipling Ave,East,T2371,02,None,A,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5506036470818, 43.6774088150417]]}"
74,328,SH-03290,1151X,Albion Rd,Albion Rd,South,John Grubb Crt,West,T11719,01,Albion Islington Square,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5681111672716, 43.737616802808]]}"
75,329,SH-00563,1,Rochelle Cres,Sheppard Ave E,North,Shaughnessy Blvd,East,T7247,17,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3530758109827, 43.7739319623995]]}"
76,332,SH-00867,2358,Eglinton Ave W,Eglinton Ave W,North,Blackthorn Ave,East,None,05,None,Standard Daytech,Temporarily Removed,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4651492578288, 43.6921040799034]]}"
77,335,SH-02581,2475,Eglinton Ave W,Eglinton Ave W,South,Gabian Way,West,None,05,None,Standard Daytech,Existing,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4679615265927, 43.6916174555596]]}"
78,338,SH-00900,1008,Military Trail,Morningside Ave,East,Military Trl,South,T2958,25,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.193912567336, 43.7887768742643]]}"
79,339,SH-00198,188,Eglinton Ave E,Eglinton Ave E,North,Redpath Ave,East,T2305,12,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.392616294498, 43.7080139237879]]}"
80,340,SH-02206,940,The East Mall,Eglinton Ave W,North,The East Mall,East,T2344,02,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5710345809799, 43.67211284528]]}"
81,348,SH-03267,4979,Bathurst St,Bathurst St,East,Brenthall Ave,North,T85,18,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4432483156092, 43.7755523343214]]}"
82,352,SH-03654,250,Rogers Rd,Eglinton Ave W,South,Little Blvd,West,None,09,None,Standard Daytech,Existing,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4587168444268, 43.6937144475856]]}"
83,354,SH-02644,20,Ellesmere Rd,Victoria Park Ave,East,Ellesmere Rd,North,T8456,21,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3151418327394, 43.7581654043474]]}"
84,362,SH-02076,4400,Eglinton Ave W,Eglinton Ave W,North,Russell Rd,East,T2405,02,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5326212251408, 43.6812717947447]]}"
85,371,SH-03383,32,Halesia Dr,Finch Ave W,South,Woodbine Downs Blvd,West,T2600,01,None,D,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.6070127022553, 43.7336305848287]]}"
86,373,SH-02950,756,Warden Ave,None,None,Warden Ave,None,None,20,None,Standard Daytech,Existing,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2844394929208, 43.7197795398193]]}"
87,378,SH-03308,100,Eglinton Sq,Eglinton Ave E,South,Pharmacy Ave,East,None,20,None,Standard Daytech,Temporarily Removed,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2973043537223, 43.7255033763314]]}"
88,379,SH-00124,78,Dunloe Rd,Spadina Rd,East,Archer Rd,South,T4606,12,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4156470667983, 43.695988556002]]}"
89,384,SH-00491,175,Cummer Ave,Willowdale Ave,East,Cummer Ave,South,T8800,18,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4097368761023, 43.7884513424718]]}"
90,387,SH-01699,3034,Bayview Ave,Bayview Ave,West,Parkview Ave,North,T9476,18,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3903309903543, 43.7762436859565]]}"
91,392,SH-02346,4330,Dufferin St,Dufferin St,West,Steeprock Dr,North,T9417,06,DuKe Heights,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4655981972121, 43.7618583361943]]}"
92,393,SH-00876,364,Evans Ave,Kipling Ave,East,Evans Ave,North,T4307,03,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5246854020756, 43.6163260549158]]}"
93,396,SH-00944,20,Ellesmere Rd,Ellesmere Rd,North,Victoria Park Ave,East,T6372,21,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3149950551278, 43.758092878315]]}"
94,397,SH-01974,37,Grosvenor St,Bay St,East,Grosvenor St,South,T250,13,Downtown Yonge,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3861914361747, 43.6623571727867]]}"
95,398,SH-00214,630X,Rogers Rd,Bicknell Ave,West,Rogers Rd,North,None,05,Rogers Road,Standard Ancaster,Existing,Ancaster,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.474181139716, 43.6821348240851]]}"
96,404,SH-02141,7,Arleta Ave,Arleta Ave,East,Sheppard Ave W,North,T9210,07,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5015437222357, 43.7419615510129]]}"
97,406,SH-01690,35,Warrender Ave,Eglinton Ave W,South,Kipling Ave,West,T2370,02,None,A,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5513094402489, 43.6769882828547]]}"
98,416,SH-00197,1666,Albion Rd,Martin Grove S Albion W Ramp,West,Albion Rd,North,T5589,01,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5946229029082, 43.7422002893402]]}"
99,417,SH-00050,1558,Kipling Ave,Kipling Ave,West,Clement Rd,North,T4300,02,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5531100489325, 43.6816375579871]]}"
100,420,SH-01038,401,College St,College St,South,Borden St,West,T816,11,None,B,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4053458560327, 43.6567992310637]]}"
101,421,SH-01879,800,Bay St,Bay St,West,College St,North,T239,11,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.386058456807, 43.6610262548278]]}"
102,427,SH-02986,2669,Jane St,Sheppard Ave W,East,Sheppard Ave W,South,T6069,06,None,D,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.512523090268, 43.7393665801911]]}"
103,431,SH-03172,2,Hunter Ave,Dufferin St,West,Hunter Ave,North,T2063,09,Fairbank Village,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4498991450882, 43.6945948767862]]}"
104,433,SH-03502,112,Celestine Dr,The Westway,North,Wabash Ave,None,T6186,02,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.5572085030971, 43.6854617125813]]}"
105,438,SH-00976,17,Clappison Blvd,None,None,Adenmore Rd,None,None,25,None,Standard Daytech,Existing,Daytech,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.1376579069906, 43.7815280788531]]}"
106,440,SH-00955,40,Robert Woodhead Cres,Sheppard Ave W,North,Keele St,East,T6072,06,None,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4861052368353, 43.7450070157797]]}"
107,444,SH-01223,75,Commissioners St,Commissioners St,South,Don Roadway,West,T4897,14,None,C,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3470025172545, 43.6475435954366]]}"
108,445,SH-00971,4505,Sheppard Ave E,Sheppard Ave E,South,Brownspring Rd,West,T7147,23,Sheppard East Village,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2647991112941, 43.788236209702]]}"
109,447,SH-03063,281,Queen St E,Queen St E,South,Ontario St,West,T3060,13,Historic Queen East,A,Temporarily Removed,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3674529397783, 43.6548575908116]]}"
110,460,SH-00215,5650,Yonge St,Finch Ave W,North,Yonge St,West,T9130,18,Willowdale,A,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.4161660264243, 43.7797864489723]]}"
111,489,SH-02461,955,O'Connor Dr,O'Connor Dr,East,Gardens Cres,South,T7997,19,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3107008122962, 43.7081669703245]]}"
112,490,SH-02040,1,Front St W,Front St W,North,Bay St,East,T9406,10,Financial District,B,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.3785931232941, 43.6459876477181]]}"
113,491,SH-02952,779,The Queensway,The Queensway,South,Smith Cres,East,T6881,03,Shop The Queensway,D,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.5054592425018, 43.6256043604421]]}"
114,505,SH-00964,90,Queen's Park,Queen's Park,West,Charles St W,South,T1458,11,None,B,Temporarily Removed,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3936161863922, 43.6670697280138]]}"
115,508,SH-03360,762,Broadview Ave,Danforth Ave,South,Broadview Ave,West,T870,14,Broadview Danforth,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3590542050909, 43.6760644944468]]}"
116,510,SH-01069,72,Croach Cres,Finch Ave E,South,Middlefield Rd,West,T2532,23,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.2581701806822, 43.8096706655728]]}"
117,516,SH-02637,1800,Yonge St,Yonge St,West,Merton St,North,T10800,12,Midtown Yonge,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3963106804155, 43.6962927911087]]}"
118,522,SH-01590,5077,Finch Ave E,Finch Ave E,South,Sandhurst Crcl,West,T2546,23,None,C,Existing,Enseicom,None,No,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.2630727663479, 43.8086447626442]]}"
119,528,SH-00072,2499,Sheppard Ave E,Victoria Park Ave,West,Sheppard Ave E,South,T7425,17,None,B,Existing,Enseicom,None,Yes,Existing,,"{'type': 'MultiPoint', 'coordinates': [[-79.3229567965452, 43.7747321812844]]}"
